VOLUME_GB,VALOR_UD,PROJETO,TIPO_PROCESSAMENTO,PUBLICIDADE,PROGRAMA,TIPO_PROGRAMA,TECNOLOGIA,INICIO,TERMINO,IDADE,DATA_PUBLICIDADE,BLOCO,CAMPO,BACIA,EAD,OPERADORA,PONTOS_BACIA,PONTOS_PROC,PONTOS_TEC,PONTOS_TIME
,,0007_SERGIPE_ALAGOAS_39,Field Data,Publico,0007_SERGIPE_ALAGOAS_39,Exclusivo Pre-98,Sismica 2D,08/05/1970,23/08/1970,53, , , ,multiplas,Petrobras,Petrobras,0.12,1,0,-0.9
0.0166203,1,0007_SERGIPE_ALAGOAS_39,STK FIN,Publico,0007_SERGIPE_ALAGOAS_39,Exclusivo Pre-98,Sismica 2D,08/05/1970,23/08/1970,53, , , ,multiplas,Petrobras,Petrobras,0.12,0.75,0,-0.9
4283.437811,42.83437811,0022_BRASILSPAN01,Field Data,Confidencial,0022_BRASILSPAN01,Nao-Exclusivo,Sismica 2D,17/05/2007,21/06/2008,15,21/06/2026, , ,multiplas,GX Technology,,0.12,1,0,-0.3
18.29145117,3.658290235,0022_BRASILSPAN01_PSDM,MIG PSDM,Confidencial,0022_BRASILSPAN01,Nao-Exclusivo,Sismica 2D,17/05/2007,21/06/2008,15,21/06/2026, , ,multiplas,GX Technology,,0.12,0.45,0,-0.3
14.67726969,2.935453938,0022_BRASILSPAN01_PSTM,MIG PSTM,Confidencial,0022_BRASILSPAN01,Nao-Exclusivo,Sismica 2D,17/05/2007,21/06/2008,15,21/06/2026, , ,multiplas,GX Technology,,0.12,0.65,0,-0.3
,,0022_GREATERBRASILSPAN_SUBSET1,Field Data,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,GX Technology,,0.12,1,0,-0.3
,,0022_GREATERBRASILSPAN_SUBSET2,Field Data,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,GX Technology,,0.12,1,0,-0.3
,,0022_GREATERBRASILSPAN_SUBSET3A,Field Data,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,GX Technology,,0.12,1,0,-0.3
,,0022_GREATERBRASILSPAN_SUBSET3B,Field Data,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,GX Technology,,0.12,1,0,-0.3
,,0022_GREATERBRASILSPAN_SUBSET4,Field Data,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,GX Technology,,0.12,1,0,-0.3
,,0022_GREATERBRASILSPAN_SUBSET5,Field Data,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,GX Technology,,0.12,1,0,-0.3
,,0022_GREATERBRASILSPAN_SUBSET6,Field Data,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,GX Technology,,0.12,1,0,-0.3
48.2401062,9.64802124,0022_GREATERBRASILSPAN,PSDM,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,GX Technology,,0.12,-0.8,0,-0.3
9.8207424,1.96414848,0022_GREATERBRASILSPAN_SUBSET1,PSDM,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,GX Technology,,0.12,-0.8,0,-0.3
3.9206838,1,0022_GREATERBRASILSPAN_SUBSET2,PSDM,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,GX Technology,,0.12,-0.8,0,-0.3
16.4613086,3.29226172,0022_GREATERBRASILSPAN_SUBSET4,PSDM,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,GX Technology,,0.12,-0.8,0,-0.3
13.9806887,2.79613774,0022_GREATERBRASILSPAN_SUBSET5,PSDM,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,GX Technology,,0.12,-0.8,0,-0.3
26.5439542,5.30879084,0022_GREATERBRASILSPAN,PSTM,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,GX Technology,,0.12,-0.5,0,-0.3
3.1460059,1,0022_GREATERBRASILSPAN_SUBSET2,PSTM,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,GX Technology,,0.12,-0.5,0,-0.3
,,0022_PELOTAS_BMP2,Field Data,Confidencial,0022_PELOTAS_BMP2,Nao-Exclusivo,Sismica 2D,27/11/2008,26/01/2009,14,26/01/2027, , ,multiplas,GX Technology,,0.12,1,0,-0.3
3.6836915,1,0022_PELOTAS_BMP2,MIG PSTM,Confidencial,0022_PELOTAS_BMP2,Nao-Exclusivo,Sismica 2D,27/11/2008,26/01/2009,14,26/01/2027, , ,multiplas,GX Technology,,0.12,0.65,0,-0.3
,,0023_2D_SAO_FRANCISCO_RM14,Field Data,Publico,0023_2D_SAO_FRANCISCO,Exclusivo,Sismica 2D,20/06/2008,19/12/2008,15,19/12/2013,multiplos, ,Sao Francisco,PGS,Petrobras,0.21,1,0,-0.3
0.5213193,1,0023_2D_SAO_FRANCISCO,PSTM,Publico,0023_2D_SAO_FRANCISCO,Exclusivo,Sismica 2D,20/06/2008,19/12/2008,15,19/12/2013,multiplos, ,Sao Francisco,PGS,Petrobras,0.21,-0.5,0,-0.3
,,0026_2D_ALECRIM_UPANEMA_RM14,Field Data,Publico,0026_2D_ALECRIM_UPANEMA,Exclusivo,Sismica 2D,16/03/2007,25/03/2007,16,25/03/2012,POT-T-744, ,Potiguar,Petrobras,Petrobras,1,1,0,-0.3
0.03001173,1,0026_2D_ALECRIM_UPANEMA_PSTM,PSTM,Publico,0026_2D_ALECRIM_UPANEMA,Exclusivo,Sismica 2D,16/03/2007,25/03/2007,16,25/03/2012,POT-T-744, ,Potiguar,Petrobras,Petrobras,1,-0.5,0,-0.3
,,0026_2D_BAIXO_DE_CAMACARI,Field Data,Publico,0026_2D_BAIXO_DE_CAMACARI,Exclusivo,Sismica 2D,19/12/2011,28/12/2011,12,28/12/2016, ,CAMAcARI,Reconcavo,Geokinetics,Petrobras,0.37,1,0,-0.3
0.114835,1,0026_2D_BAIXO_DE_CAMACARI,POST-STM,Publico,0026_2D_BAIXO_DE_CAMACARI,Exclusivo,Sismica 2D,19/12/2011,28/12/2011,12,28/12/2016, ,CAMAcARI,Reconcavo,Geokinetics,Petrobras,0.37,-0.1,0,-0.3
10.53240179,1,0026_2D_CEXIS_CAMACARI_RM17,Field Data,Publico,0026_2D_CEXIS_CAMACARI,Exclusivo,Sismica 2D,18/11/2005,23/12/2005,18,23/12/2010,BT-REC-7, ,Reconcavo,Petrobras,Petrobras,0.37,1,0,-0.3
0.09516302,1,0026_2D_CEXIS_CAMACARI_PSTM,PSTM,Publico,0026_2D_CEXIS_CAMACARI,Exclusivo,Sismica 2D,18/11/2005,23/12/2005,18,23/12/2010,BT-REC-7, ,Reconcavo,Petrobras,Petrobras,0.37,-0.5,0,-0.3
17.64110645,1,0026_2D_FURADO_RM17,Field Data,Publico,0026_2D_FURADO,Exclusivo,Sismica 2D,24/09/2008,29/09/2008,15,29/09/2013, ,FURADO,Alagoas,Petrobras,Petrobras,0.55,1,0,-0.3
0.0337763,1,0026_2D_FURADO,PSTM,Publico,0026_2D_FURADO,Exclusivo,Sismica 2D,24/09/2008,29/09/2008,15,29/09/2013, ,FURADO,Alagoas,Petrobras,Petrobras,0.55,-0.5,0,-0.3
,,0026_2D_IPANGUACU_RM14,Field Data,Publico,0026_2D_IPANGUACU,Exclusivo,Sismica 2D,26/01/2007,10/04/2007,16,10/04/2012,multiplos, ,Potiguar,Petrobras,Petrobras,1,1,0,-0.3
1.899411804,1,0026_2D_IPANGUACU_RM17,Field Data,Publico,0026_2D_IPANGUACU,Exclusivo,Sismica 2D,26/01/2007,10/04/2007,16,10/04/2012,multiplos, ,Potiguar,Petrobras,Petrobras,1,1,0,-0.3
