VOLUME_GB,VALOR_UD,PROJETO,TIPO_PROCESSAMENTO,PONTOS_PROCESSAMENTO,PUBLICIDADE,PROGRAMA,TIPO_PROGRAMA,TECNOLOGIA,INICIO,TERMINO,IDADE,DATA_PUBLICIDADE,BLOCO,CAMPO,BACIA,CLASS_BACIA,EAD,OPERADORA
0.0166203,1,0007_SERGIPE_ALAGOAS_39,STK FIN,0.5,Publico,0007_SERGIPE_ALAGOAS_39,Exclusivo Pre-98,Sismica 2D,08/05/1970,23/08/1970,53, , , ,multiplas,6,Petrobras,Petrobras
, ,0007_SERGIPE_ALAGOAS_39,Field Data,0,Publico,0007_SERGIPE_ALAGOAS_39,Exclusivo Pre-98,Sismica 2D,08/05/1970,23/08/1970,53, , , ,multiplas,6,Petrobras,Petrobras
1.829.145.117,3.658.290.235,0022_BRASILSPAN01_PSDM,MIG PSDM,2.75,Confidencial,0022_BRASILSPAN01,Nao-Exclusivo,Sismica 2D,17/05/2007,21/06/2008,15,21/06/2026, , ,multiplas,6,GX Technology,
1.467.726.969,2.935.453.938,0022_BRASILSPAN01_PSTM,MIG PSTM,1.5,Confidencial,0022_BRASILSPAN01,Nao-Exclusivo,Sismica 2D,17/05/2007,21/06/2008,15,21/06/2026, , ,multiplas,6,GX Technology,
4.283.437.811,4.283.437.811,0022_BRASILSPAN01,Field Data,0,Confidencial,0022_BRASILSPAN01,Nao-Exclusivo,Sismica 2D,17/05/2007,21/06/2008,15,21/06/2026, , ,multiplas,6,GX Technology,
31.460.059,1,0022_GREATERBRASILSPAN_SUBSET2,PSTM,3.75,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,6,GX Technology,
482.401.062,964.802.124,0022_GREATERBRASILSPAN,PSTM,3.75,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,6,GX Technology,
39.206.838,1,0022_GREATERBRASILSPAN_SUBSET2,PSDM,5,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,6,GX Technology,
98.207.424,196.414.848,0022_GREATERBRASILSPAN_SUBSET1,PSDM,5,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,6,GX Technology,
139.806.887,279.613.774,0022_GREATERBRASILSPAN_SUBSET5,PSDM,5,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,6,GX Technology,
164.613.086,329.226.172,0022_GREATERBRASILSPAN_SUBSET4,PSDM,5,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,6,GX Technology,
265.439.542,530.879.084,0022_GREATERBRASILSPAN,PSDM,5,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,6,GX Technology,
, ,0022_GREATERBRASILSPAN_SUBSET4,Field Data,0,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,6,GX Technology,
, ,0022_GREATERBRASILSPAN_SUBSET5,Field Data,0,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,6,GX Technology,
, ,0022_GREATERBRASILSPAN_SUBSET6,Field Data,0,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,6,GX Technology,
, ,0022_GREATERBRASILSPAN_SUBSET1,Field Data,0,Confidencial,0022_GREATERBRASILSPAN,Nao-Exclusivo,Sismica 2D,03/10/2008,31/08/2012,11,31/08/2030, , ,multiplas,6,GX Technology,
